Franchise,Films,Mean [$],Total [$]
Deuce Bigalow,2,43967610.0,87935221.0
Devasuram,1,0.0,0.0
Dexter Riley,3,0.0,0.0
Dhamaal,2,0.0,0.0
Dhoom Series,3,49798809.0,149396427.0
Diary of a Wimpy Kid,4,66337553.0,265350212.0
Dick Tracy 1940s,2,0.0,0.0
Die Fritz Lang Indien-Edition,2,0.0,0.0
Die Hard,5,287017272.0,1435086362.0
Die Kirche bleibt im Dorf,1,0.0,0.0
Die Nibelungen,2,0.0,0.0
Die Nibelungen Filmreihe,1,0.0,0.0
Digimon,1,0.0,0.0
Dirty Dancing,2,120819645.0,241639290.0
Dirty Harry,5,37924539.0,189622693.0
Disney Buddies,7,0.0,0.0
Disneys Große Pause,1,44460850.0,44460850.0
District 13,2,9185253.0,18370506.0
Divergent,4,190808241.0,763232964.0
Dixie Zombi - Colección,1,0.0,0.0
Django - Original films,2,8638.0,17277.0
Dolemite,2,0.0,0.0
Dolphin Tale,2,73914465.0,147828930.0
Don Camillo,3,0.0,0.0
Don,2,0.0,0.0
Don't Go Breaking My Heart,1,0.0,0.0
Doraemon,1,83061158.0,83061158.0
Dorm Daze,2,131970.0,263941.0
Dr Goldfoot,2,0.0,0.0
Dr. Dolittle,5,94112190.0,470560949.0
Dr. Mabuse,1,0.0,0.0
Dr. Phibes,2,0.0,0.0
Dr. Who,2,0.0,0.0
Dracula (Hammer Series),9,101046.0,909413.0
Dracula (Universal Series),4,253047.0,1012189.0
Dracula 2000,3,11000112.0,33000337.0
Dragon Ball,4,0.0,0.0
Dragon Ball Z (Movie),15,7474746.0,112121192.0
Dragon Ball Z OVA,5,0.0,0.0
Dragon Nest,1,0.0,0.0
DragonHeart,4,28816844.0,115267375.0
Dream a Little Dream,2,0.0,0.0
Dreileben,1,0.0,0.0
Drunken Master,3,0.0,0.0
Ducobu,1,0.0,0.0
Dumb and Dumber,3,152126633.0,456379899.0
Dungeons & Dragons,3,5061747.0,15185241.0
Düğün Dernek,1,0.0,0.0
East Side Kids,1,0.0,0.0
East is East,2,16033500.0,32067000.0
Easy Money,3,0.0,0.0
Eating Out Series,4,0.0,0.0
Eberhofer Krimi,1,0.0,0.0
Eccezzziunale... veramentes,1,0.0,0.0
Eddie and the Cruisers,2,2393394.0,4786789.0
Eden of the East,2,0.0,0.0
El pico - Colección,2,1132261.0,2264522.0
Election,2,0.0,0.0
Elektra Luxx,2,9054.0,18107.0
Elements Trilogy,3,3817631.0,11452892.0
Elite Squad,2,31513840.0,63027681.0
Elizabeth,2,78194102.0,156388205.0
Elling,2,0.0,0.0
Elvira,1,5596267.0,5596267.0
Emil i Lönneberga,2,0.0,0.0
Emmanuelle 2000s (USA),1,0.0,0.0
Emmanuelle,6,0.0,0.0
Encounters of the Spooky Kind,1,731753.0,731753.0
Enter the Ninja,3,4389342.0,13168027.0
Epoch,2,0.0,0.0
Erkan & Stefan Filmreihe,2,2254052.0,4508104.0
Ernest,9,5745721.0,51711491.0
Erotic Ghost Story,1,0.0,0.0
Escape From ...,2,46261032.0,92522065.0
Europa Trilogy,3,0.0,0.0
Evangelion,2,10000000.0,20000000.0
Evil Bong,2,0.0,0.0
Evil Dead,3,11774348.0,35323044.0
Ex,1,0.0,0.0
Extralarge,1,0.0,0.0
Eye of the Dolphin,2,35952.0,71904.0
Eyyvah Eyvah,1,0.0,0.0
"F*ck You, Goethe",2,41513962.0,83027924.0
F.C. De Kampioenen Collectie,1,7471304.0,7471304.0
F/X,2,10301858.0,20603715.0
Faces of Death,6,0.0,0.0
Fallen,1,0.0,0.0
Family Guy Presents,2,0.0,0.0
Fanny Brice,2,26111653.0,52223306.0
Fantasia,2,87097285.0,174194570.0
Fantastic Beasts,1,809342332.0,809342332.0
Fantastic Four,2,309813741.0,619627482.0
Fanthagirò,1,0.0,0.0
Fantomas,3,0.0,0.0
Fantozzi,10,0.0,0.0
Fantômas Serial,5,0.0,0.0
Fast Getaway,1,0.0,0.0
"Fat, Sick & Nearly Dead",2,0.0,0.0
Fatal Fury,1,0.0,0.0
Father Flanagan,1,0.0,0.0
Father and Guns,1,0.0,0.0
Father of Four,1,0.0,0.0
Father of the Bride,2,82952346.0,165904691.0
Fear,1,0.0,0.0
Fearless Hyena,2,0.0,0.0
Feast,3,219524.0,658573.0
Feluda,2,0.0,0.0
FernGully,2,16355447.0,32710894.0
Fievel,4,31327011.0,125308043.0
Fifty Shades,2,474916811.0,949833622.0
Fight Back to School,1,0.0,0.0
Fimfárum (kolekce),2,0.0,0.0
Final Destination,5,121100532.0,605502659.0
Final Fantasy,4,21350452.0,85401810.0
Finding Nemo,2,984453212.0,1968906425.0
Firestarter,2,8540084.0,17080167.0
Fist of the North Star: The Legends of the True Savior,5,172.0,862.0
Flatfoot,4,0.0,0.0
Flatland,1,0.0,0.0
Flesh Gordon,1,0.0,0.0
Fletch,2,47381924.0,94763848.0
Flodder,3,0.0,0.0
Flower & Snake,1,0.0,0.0
Flower Shop Mystery,1,0.0,0.0
Flower and Snake,1,0.0,0.0
Flowers in the Attic,3,0.0,0.0
Flubber,2,0.0,0.0
Flying Guillotine,2,0.0,0.0
Fontaine Khaled,1,0.0,0.0
Footsoldier,1,0.0,0.0
Force,1,0.0,0.0
Fortress,2,3369570.0,6739141.0
Frankenstein (Hammer Series),6,0.0,0.0
Frankenstein (Universal Series),5,2400000.0,12000000.0
Freche Mädchen Filmreihe,1,0.0,0.0
Fred,1,0.0,0.0
Free Willy,3,51232875.0,153698625.0
Freeway,2,0.0,0.0
French Connection,2,26821600.0,53643201.0
French Fried Vacation,3,0.0,0.0
Friday,3,40523360.0,121570081.0
Friday the 13th,12,38741545.0,464898544.0
Fright Night (Reboot),2,12461118.0,24922237.0
Fright Night,2,13953010.0,27906021.0
Fritz the Cat,2,0.0,0.0
From Dusk Till Dawn,3,8612205.0,25836616.0
Frosty the Snowman,2,0.0,0.0
Frozen,2,637109504.0,1274219009.0
Fu Manchu,4,0.0,0.0
Fubar,2,0.0,0.0
Fuga de cerebros -,2,0.0,0.0
Fullmetal Alchemist,2,3700740.0,7401480.0
Futurama,4,0.0,0.0
G.I. Joe (Live-Action),2,337172648.0,674345295.0
Galaxy Express 999,1,0.0,0.0
Gamera Films,8,0.0,0.0
Gamma One,2,0.0,0.0
Gangs of Wasseypur,1,4100000.0,4100000.0
Gantz,2,0.0,0.0
Garage Sale Mystery,1,0.0,0.0
Garfield (Animation),3,0.0,0.0
Garfield,2,171253399.0,342506798.0
Garfield Holiday Celebrations,2,0.0,0.0
Gasland,2,0.0,0.0
Gator,2,0.0,0.0
George Carlin Comedy,13,0.0,0.0
George of the Jungle,2,0.0,0.0
Get Smart,2,0.0,0.0
Ghost Rider,2,188977874.0,377955748.0
Ghost in the Shell,3,4025788.0,12077365.0
Ghost in the Shell: Arise,6,16867.0,101203.0
Ghost in the Shell: Stand Alone Complex,2,0.0,0.0
